#BLTrackFile VirtualDetector/initPhase
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-3.72243 0.176081 200 -3.69329 1.47739 208.501 0.748004 -13 1 1 0 1
-0.282597 1.65809 200 0.308145 1.68778 198.779 0.755537 -13 2 1 0 1
-0.774582 2.87441 200 0.2727 2.98313 195.948 0.758 -13 3 1 0 1
1.78337 3.06187 200 2.86155 2.45469 207.8 0.748509 -13 4 1 0 1
4.67038 -3.21974 200 3.35927 -4.72157 199.076 0.755512 -13 5 1 0 1
-1.03995 0.0192048 200 -0.997767 0.381686 200.227 0.754323 -13 6 1 0 1
2.30753 6.12074 200 4.46649 5.37318 208.647 0.748118 -13 7 1 0 1
4.37605 2.1268 200 5.1517 0.614906 208.277 0.748243 -13 8 1 0 1
-0.669518 -0.336769 200 -0.746023 -0.0823143 194.968 0.758797 -13 9 1 0 1
2.51194 0.375438 200 2.46985 -0.527578 193.507 0.760147 -13 10 1 0 1
1.4427 -3.97871 200 -0.0660924 -4.15281 190.825 0.762699 -13 11 1 0 1
2.91971 -0.885596 200 2.37114 -1.83251 190.997 0.762473 -13 12 1 0 1
-0.253908 1.02577 200 0.113354 1.07776 199.911 0.754583 -13 13 1 0 1
1.27002 2.88385 200 2.26908 2.4224 205.613 0.750132 -13 14 1 0 1
-0.283594 2.03628 200 0.437333 2.06432 200.082 0.754466 -13 15 1 0 1
-1.29356 -2.19393 200 -1.98904 -1.62249 196.276 0.757698 -13 16 1 0 1
3.00323 -1.33188 200 2.54994 -2.38577 207.578 0.74866 -13 17 1 0 1
-0.180761 -2.2713 200 -0.975862 -2.2333 208.963 0.7476 -13 18 1 0 1
-1.67201 -1.36159 200 -2.01469 -0.669633 191.494 0.761975 -13 19 1 0 1
-0.587525 1.23408 200 -0.115642 1.3532 193.36 0.760244 -13 20 1 0 1
0.126267 -0.860915 200 -0.174343 -0.905074 206.838 0.749136 -13 21 1 0 1
-0.0988506 2.60143 200 0.811769 2.57689 202.43 0.752586 -13 22 1 0 1
4.36999 -0.495142 200 3.96527 -1.99475 196.566 0.757544 -13 23 1 0 1
2.02305 2.14089 200 2.65791 1.31521 196.058 0.757904 -13 24 1 0 1
-2.28916 1.02973 200 -1.86356 1.79937 201.242 0.753536 -13 25 1 0 1
-3.01045 -1.83197 200 -3.67182 -0.79399 208.214 0.748203 -13 26 1 0 1
1.71042 -4.10939 200 0.184945 -4.48894 196.582 0.757534 -13 27 1 0 1
0.256473 -2.29943 200 -0.554982 -2.31251 200.391 0.754221 -13 28 1 0 1
